date,value
1520899320,5
1520985923,4
1521072100,4
1521245083,2
1521331330,5
1521419458,5
1521504027,5
1521590838,5
1521676921,5
1521764641,5
1521850461,5
1522030079,5
1522030089,5
1522030126,5
1522030147,5
1522030155,5
1522030165,5
1522108820,5
1522203112,4
1522368433,5
1522454554,5
1522542890,5
1525113570,2
1527178547,4
1528982057,5
1529366507,5
1529457511,5
1529779667,5
1531166639,5
